einhvern	fokeo

hef	sfg1en
ég	fp1en
ekki	aa
sagt	ssg
að	c
þú	fp2en
þurfir	svg2en
ekki	aa
að	cn
eiga	sng
manninn	nkeog
sem	ct
ég	fp1en
valdi	sfg1eþ
þér	fp2eþ
þegar	c
þú	fp2en
varst	sfg2eþ
ungabarn	nhen
?	?

hvað	fshen
nú	aa
-	-
hvað	fshen
nú	aa
?	?
»	»

«	«
leyfðu	sbg2en
mér	fp1eþ
að	cn
fara	sng
til	ae
Parísar	nvee-s
,	,
»	»
hafði	sfg3eþ
hún	fpven
svarað	ssg
.	.

og	c
svo	aa
hafði	sfg3eþ
hún	fpven
verið	ssg
send	sþgven
til	ae
Parísar	nvee-s
,	,
borgar	nvee
fegurðarinnar	nveeg
,	,
og	c
þar	aa
hafði	sfg3eþ
hún	fpven
kynnst	ssm
Cheng	nkeþ-s
og	c
Chao	nkeþ-s
Chung	nkeþ-s
sem	ct
nú	aa
var	sfg3eþ
ráðherra	nken
og	c
öllu	foheþ
hinu	faheþ
unga	lheþvf
fólkinu	nheþg
sem	ct
var	sfg3eþ
brennandi	lhenof
af	aþ
anda	nkeþ
byltingarinnar	nveeg
.	.

á	aþ
árunum	nhfþg
sem	ct
þá	aa
fóru	sfg3fþ
í	ao
hönd	nveo
þegar	c
fegurðin	nveng
gleymdist	sfm3eþ
,	,
þegar	c
fegurðin	nveng
glataðist	sfm3eþ
í	aþ
mistökum	nhfþ
og	c
vonbrigðum	nhfþ
byltingarinnar	nveeg
,	,
þá	aa
hafði	sfg3eþ
Cheng	nken-s
flúið	ssg
og	c
gerst	ssm
landstjóri	nken
í	aþ
fjarlægu	lheþsf
fylki	nheþ
og	c
hún	fpven
fylgt	ssg
honum	fpkeþ
.	.

en	c
þarna	aa
hafði	sfg3eþ
hún	fpven
endurheimt	ssg
fegurðina	nveog
,	,
fegurð	nveo
landslags	nhee
sem	ct
tíbráin	nveng
hvíldi	sfg3eþ
yfir	aþ
,	,
fegurð	nveo
garða	nkfe
í	aþ
gömlum	lvfþsf
borgum	nvfþ
umluktum	lvfþsf
múrum	nkfþ
og	c
í	aþ
aldingörðunum	nkfþg
umhverfis	ao
stór	lhfosf
og	c
fornleg	lhfosf
hús	nhfo
.	.

nú	aa
hafði	sfg3eþ
fegurðin	nveng
enn	aa
einu	tfheþ
sinni	nheþ
glatast	ssm
.	.

stríðið	nheng
við	ao
Japan	nheo-s
og	c
sigur	nken
hinna	gvfe
undarlegu	lvfevf
nýju	lvfevf
kennisetninga	nvfe
í	aþ
landi	nheþ
hennar	fpvee
höfðu	sfg3fþ
í	aþ
för	nveþ
með	aþ
sér	fphfþ
að	c
fegurðin	nveng
var	sfg3eþ
gersamlega	aa
horfin	sþgven
-	-
þetta	fahen
var	sfg3eþ
hin	gven
endanlega	lvenvf
tortíming	nven
sálarinnar	nveeg
!	!

hún	fpven
þekkti	sfg3eþ
allar	fovfo
röksemdir	nvfo
nútímans	nkeeg
gegn	aþ
fegurð	nveþ
-	-
fólkið	nheng
fengi	svg3eþ
betri	lkeovm
mat	nkeo
,	,
spillingunni	nveþg
væri	svg3eþ
útrýmt	sþghen
,	,
brýr	nvfn
væru	svg3fþ
byggðar	sþgvfn
,	,
flóð	nhfn
hindruð	sþghfn
,	,
jafnvel	aa
flugum	nvfþ
og	c
rottum	nvfþ
væri	svg3eþ
útrýmt	sþghen
-	-
en	c
fegurðinni	nveþg
var	sfg3eþ
útrýmt	sþghen
.	.

sjálf	fbven
hlúði	sfg3eþ
hún	fpven
að	aþ
síðustu	lvfþve
leifum	nvfþ
hennar	fpvee
,	,
skartgripum	nkfþ
sínum	fekfþ
,	,
silkikuflunum	nkfþg
,	,
húsi	nheþ
sínu	feheþ
,	,
tónlist	nveþ
sinni	feveþ
.	.

á	aþ
neðstu	lveþve
hæð	nveþ
hússins	nheeg
var	sfg3eþ
stór	lkensf
salur	nken
sem	ct
hún	fpven
hafði	sfg3eþ
aðeins	aa
fyrir	ao
einkasamkvæmi	nhfo
,	,
pöntuð	sþghfo
af	aþ
hinum	gvfþ
fáu	lvfþvf
þýðingarmiklu	lvfþvf
persónum	nvfþ
sem	ct
tilheyrðu	sfg3fþ
æðstu	lhfþve
stjórnvöldum	nhfþ
landsins	nheeg
.	.

fyrir	ao
slíkar	fbvfo
miðdegisveislur	nvfo
útbjó	sfg3eþ
matreiðslumaðurinn	nkeng
hennar	fpvee
gleymdar	lvfosf
kræsingar	nvfo
,	,
fínan	lkeosf
mat	nkeo
sem	ct
fólk	nhen
þessarar	favee
kynslóðar	nvee
vissi	sfg3eþ
alls	fohee
ekki	aa
að	c
fyrirfyndust	svm3fþ
en	c
gæddi	sfg3eþ
sér	fpheþ
á	aþ
í	aþ
allri	foveþ
leynd	nveþ
er	c
það	fphen
hafði	sfg3eþ
uppgötvað	ssg
þessar	favfo
krásir	nvfo
.	.

í	aþ
salnum	nkeþg
var	sfg3eþ
flygill	nken
,	,
amerískur	lkensf
Steinway-flygill	nken-s
,	,
sem	ct
Brandonsfjölskyldan	nvengs
hafði	sfg3eþ
skilið	ssg
eftir	aa
daginn	nkeog
sem	ct
þau	fphfn
voru	sfg3fþ
neydd	sþghfn
til	ae
að	cn
flýja	sng
í	aþ
miklu	lheþsf
hasti	nheþ
.	.

hún	fpven
hafði	sfg3eþ
borgað	ssg
þeim	fphfþ
flygilinn	nkeog
og	c
allt	foheo
annað	foheo
sem	ct
þau	fphfn
höfðu	sfg3fþ
orðið	ssg
að	cn
skilja	sng
eftir	aa
af	aþ
reikningi	nkeþ
sem	ct
hún	fpven
hafði	sfg3eþ
í	aþ
New	nxeþ-s
York	nxeþ-s
og	c
enginn	foken
landa	nkfe
hennar	fpvee
hafði	sfg3eþ
hugmynd	nveo
um	ao
.	.

alltaf	aa
síðan	c
hún	fpven
hafði	sfg3eþ
skilið	ssg
við	ao
mann	nkeo
sinn	fekeo
og	c
opnað	ssg
veitingahús	nheo
lagði	sfg3eþ
hún	fpven
ágóða	nkeo
sinn	fekeo
inn	aa
í	ao
þennan	fakeo
banka	nkeo
.	.

peningar	nkfn
voru	sfg3fþ
aðeins	aa
tryggir	lkfnsf
í	aþ
Ameríku	nveþ-s
og	c
Sviss	nheþ-s
og	c
hún	fpven
hafði	sfg3eþ
valið	ssg
Ameríku	nveo-s
þar	aa
sem	c
hún	fpven
óskaði	sfg3eþ
að	cn
senda	sng
dætur	nvfo
sínar	fevfo
þangað	aa
,	,
hvað	ftheo
hún	fpven
líka	aa
hafði	sfg3eþ
gert	ssg
.	.

hún	fpven
lærði	sfg3eþ
að	cn
þegja	sng
og	c
varðveitti	sfg3eþ
takmarkalaust	lheosf
sagnaflóðið	nheog
eins	aa
og	c
leyndan	lkeosf
fjársjóð	nkeo
þar	aa
til	aa
ég	fp1en
veitti	sfg1eþ
henni	fpveþ
tækifæri	nheo
til	ae
að	cn
leysa	sng
úr	aþ
læðingi	nkeþ
orðaflauminn	nkeog
sem	ct
bjó	sfg3eþ
innra	lhenvm
með	aþ
henni	fpveþ
.	.

Consuelo	nven-s
eyddi	sfg3eþ
þvílíkum	fbkeþ
tíma	nkeþ
í	aþ
kapellunni	nveþg
með	ao
spenntar	lvfosf
greipar	nvfo
og	c
friðsæla	lveosf
ásýnd	nveo
jórturdýrs	nhee
,	,
að	c
sá	faken
orðrómur	nken
barst	sfm3eþ
út	aa
í	aþ
klaustrinu	nheþg
að	c
hún	fpven
nyti	svg3eþ
sérstakrar	lveesf
velþóknunar	nvee
guðs	nkee
og	c
sæi	svg3eþ
himneskar	lvfosf
sýnir	nvfo
.	.

príorinnan	nveng
,	,
sem	ct
var	sfg3eþ
Katalóníukona	nven-s
og	c
hneigðist	sfm3eþ
síður	aam
en	c
hinar	favfn
nunnurnar	nvfng
í	aþ
reglunni	nveþg
til	ae
að	cn
trúa	sng
á	ao
kraftaverk	nhfo
,	,
gerði	sfg3eþ
sér	fpveþ
grein	nveo
fyrir	aþ
að	c
hér	aa
voru	sfg3fþ
engin	fohfn
undur	nhfn
á	aþ
ferð	nveþ
,	,
heldur	c
ólæknandi	lvenof
tilhneiging	nven
stúlkunnar	nveeg
til	ae
að	cn
sökkva	sng
sér	fpveþ
niður	aa
í	ao
eigin	lvfoof
hugleiðingar	nvfo
.	.

og	c
þar	aa
sem	c
stúlkan	nveng
sýndi	sfg3eþ
heldur	aam
ekki	aa
áhuga	nkeo
á	aþ
að	cn
sauma	sng
dýnuhlífar	nvfo
,	,
baka	sng
oblátur	nvfo
eða	c
flétta	sng
körfur	nvfo
,	,
leit	sfg3eþ
hún	fpven
svo	aa
á	aa
að	c
þjálfun	nveþ
hennar	fpvee
væri	svg3eþ
lokið	sþghen
og	c
ákvað	sfg3eþ
að	c
hún	fpven
skyldi	svg3eþ
þjóna	sng
í	aþ
húsi	nheþ
erlends	lkeesf
læknis	nkee
sem	ct
var	sfg3eþ
kallaður	sþgken
prófessor	nken
Jones	nken-s
.	.

hún	fpven
leiddi	sfg3eþ
stúlkuna	nveog
alla	foveo
leið	nveo
að	aþ
stórri	lveþsf
byggingu	nveþ
í	aþ
frönskum	lkeþsf
stíl	nkeþ
sem	ct
örlítið	aa
var	sfg3eþ
farin	sþgven
að	cn
láta	sng
á	aa
sjá	sng
,	,
en	c
var	sfg3eþ
engu	foheþ
að	aa
síður	aam
glæsileg	lvensf
og	c
stóð	sfg3eþ
í	aþ
útjaðri	nkeþ
borgarinnar	nveeg
fyrir	ao
neðan	aa
hæð	nveo
sem	ct
stjórnvöld	nhfn
gerðu	sfg3fþ
síðar	aam
að	aþ
þjóðgarði	nkeþ
.	.

Consuelo	nveþ-s
hnykkti	sfg3eþ
svo	aa
við	aa
þegar	c
hún	fpven
sá	sfg3eþ
þennan	fakeo
mann	nkeo
í	ao
fyrsta	lheove
skipti	nheo
að	c
hún	fpven
hræddist	sfm3eþ
hann	fpkeo
mánuðum	nkfþ
saman	aa
.	.

hún	fpven
sá	sfg3eþ
hann	fpkeo
ganga	sng
inn	aa
í	ao
stofuna	nveog
með	ao
slátrarasvuntu	nveo
framan	aa
á	aþ
sér	fpkeþ
og	c
skrýtið	lheosf
verkfæri	nheo
úr	aþ
málmi	nkeþ
í	aþ
hendinni	nveþg
.	.

hann	fpken
heilsaði	sfg3eþ
þeim	fpvfþ
ekki	aa
,	,
afgreiddi	sfg3eþ
nunnuna	nveog
með	aþ
fjórum	tfvfþ
óskiljanlegum	lvfþsf
setningum	nvfþ
og	c
sagði	sfg3eþ
Consuelo	nveþ-s
rámri	lveþsf
röddu	nveþ
að	cn
koma	sng
sér	fpveþ
í	ao
eldhúsið	nheog
,	,
of	aa
upptekinn	lkensf
af	aþ
verkefnum	nhfþ
sínum	fehfþ
til	ae
að	cn
gefa	sng
henni	fpveþ
minnsta	lkeove
gaum	nkeo
.	.

hún	fpven
virti	sfg3eþ
hann	fpkeo
aftur	aa
á	aa
móti	aa
vel	aa
fyrir	aþ
sér	fpveþ
,	,
því	fpheþ
hún	fpven
hafði	sfg3eþ
aldrei	aa
séð	ssg
svo	aa
ógnvekjandi	lkeoof
mann	nkeo
.	.

en	c
það	fphen
fór	sfg3eþ
heldur	aam
ekki	aa
fram	aa
hjá	aþ
henni	fpveþ
að	c
hann	fpken
var	sfg3eþ
fríður	lkensf
eins	aa
og	c
mynd	nven
af	aþ
frelsaranum	nkeþg
,	,
logagylltur	lkensf
,	,
með	ao
sama	fbheo
ljósa	lheovf
prinsaskeggið	nheog
og	c
litur	nken
augnanna	nhfeg
var	sfg3eþ
með	aþ
öllu	foheþ
óútskýranlegur	lkensf
.	.

þessi	faken
eini	lkenvf
húsbóndi	nken
sem	ct
Consuelo	nven-s
átti	sfg3eþ
eftir	aa
að	cn
hafa	sng
á	aþ
lífsleiðinni	nveþg
hafði	sfg3eþ
árum	nhfþ
saman	aa
unnið	ssg
að	aþ
því	fpheþ
að	cn
fullkomna	sng
aðferð	nveo
sem	ct
gerði	sfg3eþ
honum	fpkeþ
kleift	lheosf
að	cn
varðveita	sng
lík	nhfo
og	c
lykilinn	nkeog
að	aþ
því	faheþ
leyndarmáli	nheþ
tók	sfg3eþ
hann	fpken
með	aþ
sér	fpkeþ
í	ao
gröfina	nveog
til	ae
allra	fovfe
heilla	nvfe
fyrir	ao
mannkynið	nheog
.	.

hann	fpken
leitaði	sfg3eþ
líka	aa
lækninga	nvfe
á	aþ
krabbameini	nheþ
,	,
því	fpheþ
hann	fpken
hafði	sfg3eþ
tekið	ssg
eftir	aþ
að	c
sá	faken
sjúkdómur	nken
var	sfg3eþ
fátíður	lkensf
á	aþ
svæðum	nhfþ
þar	aa
sem	c
malaría	nven
var	sfg3eþ
landlæg	lvensf
og	c
dró	sfg3eþ
af	aþ
því	fpheþ
þá	faveo
augljósu	lveovf
ályktun	nveo
að	c
hægt	lhensf
væri	svg3eþ
að	cn
bæta	sng
líðan	nveo
fórnarlamba	nhfe
sjúkdómsins	nkeeg
með	aþ
því	fpheþ
að	cn
láta	sng
moskítóflugur	nvfo
af	aþ
þessum	fahfþ
mýrlendu	lhfþvf
svæðum	nhfþ
stinga	sng
þau	fphfo
.	.

með	aþ
sömu	fbhfþ
rökum	nhfþ
rannsakaði	sfg3eþ
hann	fpken
áhrifin	nhfog
af	aþ
því	fpheþ
að	cn
veita	sng
fávitum	nkfþ
þung	lhfosf
höfuðhögg	nhfo
,	,
jafnt	aa
þeim	fakeþ
sem	ct
höfðu	sfg3fþ
fæðst	ssm
þannig	aa
og	c
þeim	fakeþ
sem	ct
voru	sfg3fþ
það	fphen
af	aþ
köllun	nveþ
,	,
því	fpheþ
hann	fpken
hafði	sfg3eþ
lesið	ssg
í	aþ
Læknablaðinu	nheþgs
að	c
maður	nken
nokkur	foken
hefði	svg3eþ
orðið	ssg
afburða	nkfe
gáfaður	lkensf
í	ao
kjölfar	nheo
höfuðkúpubrots	nhee
.	.

hann	fpken
var	sfg3eþ
svarinn	lkensf
andstæðingur	nken
jafnaðarstefnunnar	nveeg
og	c
hafði	sfg3eþ
reiknað	ssg
út	aa
að	c
væri	svg3eþ
auðæfum	nhfþ
heimsins	nkeeg
skipt	sþghen
jafnt	aa
kæmu	svg3fþ
minna	aam
en	c
þrjátíu	tfkfn
og	c
fimm	tfkfn
aurar	nkfn
í	ao
hlut	nkeo
hvers	fokee
og	c
eins	fokee
og	c
byltingar	nvfn
væru	svg3fþ
því	aa
vita	aa
gagnslausar	lvfnsf
.	.

hann	fpken
hafði	sfg3eþ
heilbrigt	lheosf
og	c
hraustlegt	lheosf
yfirbragð	nheo
,	,
þjáðist	sfm3eþ
af	aþ
geðvonsku	nveþ
og	c
bjó	sfg3eþ
yfir	aþ
þekkingu	nveþ
spekingsins	nkeeg
og	c
slægð	nveþ
kirkjuvarðarins	nkeeg
.	.

uppskrift	nven
hans	fpkee
að	aþ
líksmurningunni	nveþg
var	sfg3eþ
aðdáanlega	aa
einföld	lvensf
eins	aa
og	c
nær	aa
allar	fovfn
merkar	lvfnsf
uppgötvanir	nvfn
.	.

«	«
því	fpheþ
trúi	sfg1en
ég	fp1en
,	,
»	»
tautaði	sfg1eþ
ég	fp1en
vélrænt	aa
.	.

«	«
ég	fp1en
kynni	svg1en
engan	fokeo
veginn	nkeog
við	ao
að	cn
taka	sng
þátt	nkeo
í	aþ
einhverju	foheþ
ólöglegu	lheþsf
.	.
»	»

«	«
og	c
nú	aa
langar	sfg3en
þig	fp2eo
sjálfsagt	aa
til	ae
þess	fphee
að	cn
hitta	sng
konuna	nveog
þína	feveo
,	,
»	»
sagði	sfg3eþ
hann	fpken
snaggaralega	aa
.	.

hann	fpken
greip	sfg3eþ
símtólið	nheog
og	c
sagði	sfg3eþ
:	:

«	«
biddu	sbg2en
frú	nveo
Bentall	nveo-s
að	cn
koma	sng
inn	aa
til	ae
mín	fp1ee
,	,
ef	c
þú	fp2en
vildir	svg2eþ
vera	sng
svo	aa
væn	lvensf
.	.
»	»

það	fphen
var	sfg3eþ
dautt	lhensf
í	aþ
pípunni	nveþg
hans	fpkee
og	c
hann	fpken
tók	sfg3eþ
á	aa
ný	aa
til	aa
við	ao
að	cn
skafa	sng
úr	aþ
henni	fpveþ
með	aþ
pappírshnífnum	nkeþg
og	c
rannsakaði	sfg3eþ
kónginn	nkeog
af	aþ
íhygli	nveþ
.	.

ég	fp1en
hafði	sfg1eþ
ekkert	foheo
til	ae
að	cn
rannsaka	sng
svo	aa
ég	fp1en
renndi	sfg1eþ
augunum	nhfþg
um	ao
herbergið	nheog
þar	aa
til	aa
augu	nhfn
mín	fehfn
námu	sfg3fþ
staðar	nkee
á	aþ
hvítu	lheþsf
þilinu	nheþg
framan	aa
við	ao
mig	fp1eo
.	.

um	ao
þetta	faheo
þil	nheo
var	sfg3eþ
saga	nven
.	.

fyrir	aþ
tæpum	lkfþsf
níu	tfkfþ
mánuðum	nkfþ
,	,
skömmu	lheþsf
eftir	ao
að	c
forveri	nken
Raines	nkee-s
höfuðsmanns	nkee
fórst	sfm3eþ
í	aþ
flugslysi	nheþ
,	,
sat	sfg3eþ
annar	foken
maður	nken
í	aþ
stólnum	nkeþg
sem	ct
ég	fp1en
vermdi	sfg1eþ
nú	aa
.	.

hann	fpken
var	sfg3eþ
úr	aþ
liði	nheþ
Raines	nkee-s
en	c
án	ae
þess	fphee
að	c
Raine	nken-s
renndi	sfg3eþ
í	ao
grun	nkeo
um	ao
það	fpheo
hafði	sfg3eþ
hann	fpken
snúist	ssm
á	ao
sveif	nveo
með	aþ
óvinunum	nkfþg
þegar	c
hann	fpken
starfaði	sfg3eþ
í	aþ
Mið-Evrópu	nveþ-s
og	c
var	sfg3eþ
handbendi	nhen
þeirra	fpkfe
.	.

fyrsta	lhenve
verk	nhen
hans	fpkee
í	aþ
þeirra	fpkfe
þágu	nveþ
,	,
sem	ct
hefði	svg3eþ
líklega	aa
líka	aa
orðið	ssg
hans	fpkee
síðasta	lhenve
,	,
var	sfg3eþ
ekkert	fohen
annað	fohen
en	c
að	cn
drepa	sng
Raine	nkeo-s
.	.

hefði	svg3eþ
það	fphen
gengið	ssg
eftir	aa
hefði	svg3eþ
það	fphen
valdið	ssg
óhemju	nvee
tjóni	nheþ
.	.

ég	fp1en
vissi	sfg1eþ
ekki	aa
raunverulegt	lheosf
nafn	nheo
höfuðsmannsins	nkeeg
en	c
hann	fpken
varðveitti	sfg3eþ
fleiri	lhfovm
leyndarmál	nhfo
en	c
nokkur	foken
annar	foken
.	.

dauði	nken
hans	fpkee
hefði	svg3eþ
verið	ssg
næstum	aa
óbætanlegt	lhensf
áfall	nhen
.	.

höfuðsmanninn	nkeog
grunaði	sfg3eþ
ekkert	foheo
fyrr	aam
en	c
árásarmaðurinn	nkeng
beindi	sfg3eþ
að	aþ
honum	fpkeþ
byssunni	nveþg
.	.

þá	aa
greip	sfg3eþ
hann	fpken
til	ae
skammbyssunnar	nveeg
sem	ct
hann	fpken
átti	sfg3eþ
á	aþ
leyndum	lkeþsf
stað	nkeþ
:	:

Lugerbyssa	nven-s
með	aþ
hljóðdeyfi	nkeþ
var	sfg3eþ
fest	sþgven
með	aþ
fjöður	nveþ
við	ao
stólsetuna	nveog
.	.

en	c
mér	fp1eþ
fannst	sfm3eþ
hann	fpken
hefði	svg3eþ
átt	ssg
að	cn
láta	sng
gera	sng
betur	aam
við	ao
þilið	nheog
.	.

Raine	nken-s
höfuðsmaður	nken
átti	sfg3eþ
að	aþ
sjálfsögðu	lheþsf
engra	fokfe
kosta	nkfe
völ	nveo
.	.

en	c
þótt	c
honum	fpkeþ
hefði	svg3eþ
gefist	ssm
færi	nhen
á	aþ
að	cn
afvopna	sng
manninn	nkeog
eða	c
særa	sng
hann	fpkeo
hefði	svg3eþ
hann	fpken
trúlega	aa
drepið	ssg
hann	fpkeo
samt	aa
.	.

hann	fpken
var	sfg3eþ
óbilgjarnasti	lkenve
maður	nken
sem	ct
ég	fp1en
hef	sfg1en
nokkurn	fokeo
tíma	nkeo
kynnst	ssm
.	.

hann	fpken
var	sfg3eþ
ekki	aa
grimmur	lkensf
.	.

hann	fpken
var	sfg3eþ
vægðarlaus	lkensf
.	.

tilgangurinn	nkeng
helgaði	sfg3eþ
meðalið	nheog
og	c
ef	c
markmiðið	nheng
var	sfg3eþ
nógu	lheþsf
mikilvægt	lhensf
komu	sfg3fþ
öll	fohfn
brögð	nhfn
til	ae
greina	nvfe
til	ae
þess	fphee
að	cn
ná	sng
settu	lheþsf
marki	nheþ
.	.

þess	fphee
vegna	ae
sat	sfg3eþ
hann	fpken
þar	aa
sem	c
hann	fpken
var	sfg3eþ
kominn	sþgken
.	.

en	c
þegar	c
óbilgirnin	nveng
breyttist	sfm3eþ
í	ao
grimmd	nveo
gat	sfg1eþ
ég	fp1en
ekki	aa
látið	ssg
því	fpheþ
ómótmælt	lhensf
.	.

ég	fp1en
sagði	sfg1eþ
:	:

«	«
hefur	sfg2en
þér	fp2eþ
virkilega	aa
dottið	ssg
í	ao
hug	nkeo
að	cn
senda	sng
þessa	faveo
konu	nveo
í	ao
þessa	faveo
ferð	nveo
?	?
»	»

«	«
mér	fp1eþ
hefur	sfg3en
ekki	aa
dottið	ssg
það	fphen
í	ao
hug	nkeo
.	.
»	»

hann	fpken
grúfði	sfg3eþ
sig	fpkeo
yfir	ao
pípukónginn	nkeog
með	aþ
rannsakandi	lhfþof
augum	nhfþ
jarðfræðings	nkee
sem	ct
rýnir	sfg3en
í	ao
gamlan	lkeosf
gíg	nkeo
.	.

«	«
það	fphen
er	sfg3en
afráðið	sþghen
.	.
»	»

ég	fp1en
fann	sfg1eþ
hvernig	aa
blóðið	nheng
ólgaði	sfg3eþ
í	aþ
æðum	nvfþ
mér	fp1eþ
.	.

«	«
og	c
það	fphen
eins	aa
þótt	c
þú	fp2en
vitir	svg2en
að	c
hennar	fpvee
bíða	sfg3fn
trúlega	aa
sömu	fbhfn
örlög	nhfn
og	c
konu	nvee
dr.	nkee
Fairfields	nkee-s
?	?
»	»

hann	fpken
lagði	sfg3eþ
pípuna	nveog
og	c
hnífinn	nkeog
á	ao
borðið	nheog
og	c
leit	sfg3eþ
á	ao
mig	fp1eo
og	c
sjálfum	fbkeþ
hefur	sfg3en
honum	fpkeþ
fundist	ssm
vera	sng
kerskni	nven
í	aþ
augnaráðinu	nheþg
.	.

en	c
mér	fp1eþ
fannst	sfm3eþ
það	fphen
fyrst	aae
og	c
fremst	aae
stingandi	lhenof
.	.

«	«
efastu	sfm2en
um	ao
réttmæti	nheo
ákvarðana	nvfe
minna	fevfe
,	,
Bentall	nken-s
?	?
»	»

«	«
ég	fp1en
efast	sfm1en
um	ao
að	c
það	fphen
sé	svg3en
rétt	lhensf
að	cn
senda	sng
konu	nveo
til	ae
verks	nhee
þar	aa
sem	c
miklar	lvfnsf
líkur	nvfn
eru	sfg3fn
á	aþ
að	c
hún	fpven
verði	svg3en
drepin	sþgven
.	.
»	»

rödd	nven
mín	feven
var	sfg3eþ
reiðileg	lvensf
og	c
ég	fp1en
hirti	sfg1eþ
ekki	aa
um	ao
að	cn
fela	sng
það	fpheo
.	.

«	«
og	c
ég	fp1en
efast	sfm1en
um	ao
hversu	aa
gáfulegt	lhensf
það	fphen
er	sfg3en
að	cn
senda	sng
hana	fpveo
með	aþ
mér	fp1eþ
.	.

þú	fp2en
veist	sfg2en
að	c
ég	fp1en
er	sfg1en
eintrjáningur	nken
,	,
höfuðsmaður	nken
.	.

ég	fp1en
get	sfg1en
farið	ssg
einn	lkensf
.	.

ég	fp1en
segi	sfg1en
bara	aa
að	c
konan	nveng
mín	feven
hafi	svg3en
orðið	ssg
veik	lvensf
.	.

ég	fp1en
kæri	sfg1en
mig	fp1eo
ekki	aa
um	ao
að	cn
dragast	snm
með	ao
einhvern	fokeo
kvenmann	nkeo
.	.
»	»

«	«
flestir	lkfnse
karlmenn	nkfn
mundu	svg3fþ
þakka	sng
fyrir	ao
að	cn
fá	sng
að	cn
vera	sng
með	aþ
þessari	faveþ
konu	nveþ
,	,
»	»
sagði	sfg3eþ
höfuðsmaðurinn	nkeng
þurrlega	aa
.	.

andlit	nhen
hans	fpkee
var	sfg3eþ
langt	lhensf
og	c
mjótt	lhensf
,	,
skeggið	nheng
var	sfg3eþ
hvítt	lhensf
,	,
kringt	lhensf
að	aa
neðan	aa
.	.

ennið	nheng
var	sfg3eþ
sólbrennt	lhensf
,	,
alveg	aa
koparlitað	lhensf
.	.

þegar	c
logarnir	nkfng
lýstu	sfg3fþ
upp	aa
andlit	nheo
hans	fpkee
,	,
ennið	nheog
og	c
kinnarnar	nvfog
,	,
gljáði	sfg3eþ
á	ao
hálsinn	nkeog
eins	aa
og	c
rauðleitan	lkeosf
kopar	nkeo
.	.

skyndilega	aa
reisti	sfg3eþ
hann	fpken
sig	fpkeo
upp	aa
eins	aa
og	c
honum	fpkeþ
hefði	svg3eþ
dottið	ssg
eitthvað	fohen
í	ao
hug	nkeo
:	:

jæja	au
,	,
gestur	nken
,	,
sagði	sfg3eþ
hann	fpken
,	,
hvað	fshen
heitir	sfg2en
þú	fp2en
?	?

þú	fp2en
hefur	sfg2en
ekki	aa
gert	ssg
okkur	fp1fþ
þann	fakeo
heiður	nkeo
að	cn
segja	sng
til	ae
nafns	nhee
.	.

ég	fp1en
,	,
svaraði	sfg3eþ
drengurinn	nkeng
;	;
ég	fp1en
er	sfg1en
kallaður	sþgken
Memed	nken-s
mjói	lkenvf
.	.

um	ao
leið	nveo
og	c
hann	fpken
sleppti	sfg3eþ
orðinu	nheþg
beit	sfg3eþ
hann	fpken
á	ao
vörina	nveog
,	,
sá	sfg3eþ
eftir	aþ
að	cn
hafa	sng
misst	ssg
þetta	faheo
út	aa
úr	aþ
sér	fpkeþ
.	.

hann	fpken
laut	sfg3eþ
höfði	nheþ
,	,
skömmustulegur	lkensf
.	.

og	c
hann	fpken
sem	ct
hafði	sfg3eþ
fastákveðið	ssg
meðan	c
hann	fpken
var	sfg3eþ
á	aþ
leiðinni	nveþg
að	cn
segja	sng
:	:

ég	fp1en
heiti	sfg1en
svarti	lkenvf
Mistik	nken-s
!	!

en	c
það	fphen
varð	sfg3eþ
að	cn
hafa	sng
það	fpheo
,	,
hann	fpken
hafði	sfg3eþ
gleymt	ssg
því	fpheþ
.	.

þá	aa
það	fphen
,	,
sagði	sfg3eþ
hann	fpken
við	ao
sjálfan	fbkeo
sig	fpkeo
,	,
því	aa
skyldi	svg1eþ
ég	fp1en
kalla	sng
mig	fp1eo
Mistik	nkeo-s
,	,
úr	aþ
því	fpheþ
að	c
ég	fp1en
á	sfg1en
mitt	feheo
eigið	lheosf
nafn	nheo
?	?

og	c
til	ae
hvers	fshee
ætti	svg1eþ
ég	fp1en
að	cn
halda	sng
nafni	nheþ
mínu	feheþ
leyndu	lheþsf
?	?

hver	fsken
getur	sfg3en
fundið	ssg
mig	fp1eo
í	aþ
þessu	faheþ
þorpi	nheþ
?	?

komdu	sbg2en
með	ao
mottuna	nveog
,	,
við	fp1fn
skulum	sfg1fn
borða	sng
,	,
sagði	sfg3eþ
gamli	lkenvf
maðurinn	nkeng
við	ao
tengdadóttur	nveo
sína	feveo
.	.

mottan	nveng
var	sfg3eþ
sett	sþgven
á	ao
mitt	lheosf
herbergisgólfið	nheog
og	c
maturinn	nkeng
á	ao
hana	fpveo
.	.

Memed	nken-s
mjói	lkenvf
og	c
fjölskyldan	nveng
settust	sfm3fþ
í	aa
kringum	ao
hana	fpveo
.	.

enginn	foken
mælti	sfg3eþ
orð	nheo
frá	aþ
vörum	nvfþ
meðan	c
á	aþ
