önnur	foven
var	sfg3eþ
fús	lkensf
og	c
þjáll	lkensf
og	c
þrælbundinn	lkensf
.	.
Lancia-bifreiðin	nvengs
beygði	sfg3eþ
til	ae
hægri	lveevf
þar	aa
sem	c
vegurinn	nkeng
skiptist	sfm3en
við	ao
vatnið	nheog
,	,
og	c
hugur	nken
hans	fpkee
hvarflaði	sfg3eþ
til	ae
Pintu	nvee-s
.	.

hann	fpken
elskaði	sfg3eþ
dóttur	nveo
sína	feveo
.	.

tilfinningin	nveng
var	sfg3eþ
ótvíræð	lvensf
en	c
afmörkuð	lvensf
.	.

í	aþ
litrófi	nheþ
tilfinninga	nvfe
hans	fpkee
dró	sfg3eþ
Rika	nven-s
að	aþ
sér	fpveþ
alla	fokfo
sterku	lkfovf
litina	nkfog
.	.

hann	fpken
leit	sfg3eþ
ekki	aa
á	ao
stúlkuna	nveog
sem	c
sérstæða	lveosf
einingu	nveo
heldur	c
framhald	nheo
móður	nvee
sinnar	fevee
.	.

það	fphen
gat	sfg3eþ
hent	ssg
að	c
barn	nhen
hreppti	sfg3eþ
drjúgan	lkeosf
skerf	nkeo
af	aþ
tilfinningum	nvfþ
föður	nkee
síns	fekee
,	,
keppti	sfg3eþ
jafnvel	aa
um	ao
þær	fpvfo
,	,
en	c
í	aþ
huga	nkeþ
Ettore	nkee-s
stóð	sfg3eþ
Pinta	nven-s
í	aþ
skugganum	nkeþg
.	.

þau	fphfn
snæddu	sfg3fþ
kvöldverðinn	nkeog
þrjú	tfhfn
saman	aa
;	;
Ettore	nken-s
og	c
Rika	nven-s
sátu	sfg3fþ
hvort	fohen
andspænis	aþ
öðru	foheþ
við	ao
stóra	lheovf
mahoní-borðið	nheog
og	c
Pinta	nven-s
á	aa
milli	ae
þeirra	fphfe
.	.

þjónustustúlkan	nveng
gekk	sfg3eþ
um	ao
beina	nkeo
.	.

þetta	fahen
var	sfg3eþ
stílfærð	lvensf
formföst	lvensf
máltíð	nven
og	c
skorti	sfg3eþ
alla	foveo
fjölskylduhlýju	nveo
.	.

það	fphen
stafaði	sfg3eþ
af	aþ
því	fpheþ
að	c
í	aþ
huga	nkeþ
Riku	nvee-s
var	sfg3eþ
máltíð	nven
athöfn	nven
út	aa
af	aa
fyrir	ao
sig	fpveo
og	c
nú	aa
lá	sfg3eþ
spenna	nven
í	aþ
loftinu	nheþg
og	c
skammt	lhensf
var	sfg3eþ
til	ae
uppgjörs	nhee
.	.

Rika	nven-s
hafði	sfg3eþ
tekið	ssg
manni	nkeþ
sínum	fekeþ
með	aþ
blíðu	nveþ
,	,
blandað	ssg
honum	fpkeþ
vænan	lkeosf
martini	nkeo
og	c
hlýtt	ssg
á	ao
frásögn	nveo
hans	fpkee
af	aþ
ferðinni	nveþg
til	ae
Rómar	nvee-s
með	aþ
tilhlýðilegum	lkeþsf
áhuga	nkeþ
.	.

en	c
meðan	c
Pinta	nven-s
var	sfg3eþ
frammi	aa
,	,
hafði	sfg3eþ
hún	fpven
sagt	ssg
honum	fpkeþ
að	c
stúlkan	nveng
væri	svg3eþ
vansæl	lvensf
og	c
eitthvað	foheo
yrði	svg3eþ
að	cn
gera	sng
.	.

hrörnun	nven
leiðir	sfg3en
af	aþ
sér	fpveþ
auðn	nveo
og	c
vanrækslu	nveo
,	,
og	c
öfugt	lhensf
.	.

enginn	foken
trúir	sfg3en
í	aþ
rauninni	nveþg
á	ao
miðann	nkeog
sem	ct
á	aþ
stendur	sfg3en
«	«
selt	lhensf
»	»
og	c
er	sfg3en
límdur	sþgken
yfir	ao
skiltið	nheog
«	«
til	ae
sölu	nvee
»	»
.	.

turninn	nkeng
stendur	sfg3en
of	aa
nálægt	aþ
klettabrúninni	nveþg
,	,
og	c
kletturinn	nkeng
er	sfg3en
að	cn
molna	sng
.	.

annað	fohen
hvort	fohen
hefur	sfg3en
kletturinn	nkeng
hopað	ssg
upp	aa
úr	aþ
sjónum	nkeþg
eða	c
turninn	nkeng
færst	ssm
framar	aam
,	,
í	ao
áttina	nveog
til	ae
hans	fpkee
.	.

slíkt	fbhen
og	c
þvílíkt	fbhen
getur	sfg3en
komið	ssg
hverjum	fokeþ
sem	ct
er	sfg3en
úr	aþ
jafnvægi	nheþ
.	.

mýs	nvfn
eru	sfg3fn
á	aþ
hlaupum	nhfþ
inn	aa
í	ao
og	c
út	aa
úr	aþ
herbergjum	nhfþ
,	,
og	c
eftir	ao
að	c
kötturinn	nkeng
og	c
hundurinn	nkeng
fóru	sfg3fþ
lögðust	sfm3fþ
flær	nvfn
á	ao
gömlu	lhfovf
gólfteppin	nhfog
svo	aa
að	c
þau	fphfn
voru	sfg3fþ
á	aþ
iði	nheþ
tímakorn	nheo
.	.

en	c
nú	aa
hafa	sfg3fn
þær	fpvfn
gefist	ssm
upp	aa
og	c
eru	sfg3fn
farnar	sþgvfn
.	.

sniglar	nkfn
eru	sfg3fn
á	aþ
skemmtiferð	nveþ
um	ao
eldhúsgólfið	nheog
.	.

kannski	aa
var	sfg3eþ
ástandið	nheng
betra	lhenvm
hér	aa
áður	aa
fyrr	aam
.	.

kannski	aa
er	sfg3en
allt	fohen
betra	lhenvm
en	c
friður	nken
.	.

Mary	nven-s
Fisher	nven-s
dregur	sfg3en
fram	aa
lífið	nheog
á	aþ
sjúkrahúsi	nheþ
.	.

hún	fpven
er	sfg3en
búin	lvensf
að	cn
missa	sng
hárið	nheog
vegna	ae
lyfjagjafar	nvee
.	.

Garcia	nken-s
og	c
Joan	nven-s
eru	sfg3fn
farin	sþghfn
og	c
tóku	sfg3fþ
barnið	nheog
sitt	feheo
með	aþ
sér	fphfþ
,	,
eftir	ao
að	c
hjartagalli	nken
þess	fphee
hafði	sfg3eþ
verið	ssg
læknaður	sþgken
og	c
kostnaðurinn	nkeng
greiddur	sþgken
með	aþ
síðustu	lkfþve
peningum	nkfþ
Mary	nvee-s
Fisher	nvee-s
.	.

þau	fphfn
eru	sfg3fn
flutt	sþghfn
til	ae
móður	nvee
Garcia	nkee-s
á	aþ
Spáni	nkeþ-s
til	ae
þess	fphee
að	cn
veita	sng
henni	fpveþ
þægindi	nhfo
í	aþ
ellinni	nveþg
fyrir	ao
það	faheo
fé	nheo
sem	ct
sonur	nken
hennar	fpvee
sparaði	svg3eþ
og	c
stal	sfg3eþ
á	aþ
hraðfleygum	lhfþsf
árum	nhfþ
.	.

Nikola	nven-s
býr	sfg3en
í	aþ
þorpinu	nheþg
með	aþ
náttúrufræðikennaranum	nkeþg
í	aþ
skólanum	nkeþg
:	:

Lúsý	nveþ-s
nokkurri	foveþ
Barker	nveþ-s
.	.

Nikola	nven-s
elskar	sfg3en
konur	nvfo
eingöngu	aa
.	.

Andy	nken-s
vinnur	sfg3en
sem	c
bifvélavirki	nken
.	.

yfirmaður	nken
hans	fpkee
bauð	sfg3eþ
honum	fpkeþ
að	cn
búa	sng
á	aþ
heimili	nheþ
sínu	feheþ
af	aþ
einskærri	lveþsf
góðmennsku	nveþ
.	.

Andy	nken-s
er	sfg3en
óþekkjanlegur	lkensf
frá	aþ
öðrum	fokfþ
þorpsdrengjum	nkfþ
;	;
hann	fpken
hangir	sfg3en
letilega	aa
á	aþ
götuhornum	nhfþ
og	c
er	sfg3en
haldinn	sþgken
óljósri	lveþsf
þrá	nveþ
eftir	aþ
lífi	nheþ
sem	ct
hann	fpken
mun	sfg3en
aldrei	aa
öðlast	ssm
.	.

ég	fp1en
heimsótti	sfg1eþ
Háaturn	nkeo-s
þegar	c
ég	fp1en
var	sfg1eþ
að	cn
láta	sng
laga	sng
á	aþ
mér	fp1eþ
nefið	nheog
.	.

ég	fp1en
ók	sfg1eþ
í	aa
gegnum	ao
þorpið	nheog
í	aþ
Rolls-Roycinum	nkeþgs
mínum	fekeþ
,	,
og	c
ég	fp1en
sá	sfg1eþ
Andy	nkeo-s
af	aþ
tilviljun	nveþ
þar	aa
sem	c
hann	fpken
skreið	sfg3eþ
olíuflekkóttur	lkensf
undan	aþ
kyrrstæðri	lveþsf
bifreið	nveþ
.	.

ég	fp1en
vissi	sfg1eþ
að	c
hann	fpken
var	sfg3eþ
sonur	nken
minn	feken
,	,
en	c
það	fphen
vakti	sfg3eþ
engar	fovfo
tilfinningar	nvfo
með	aþ
mér	fp1eþ
.	.

og	c
ég	fp1en
beið	sfg1eþ
fyrir	ao
utan	aa
húsið	nheog
þar	aa
sem	c
Nikola	nven-s
býr	sfg3en
og	c
sá	sfg1eþ
hana	fpveo
koma	sng
út	aa
:	:
hún	fpven
hefur	sfg3en
ygglibrúnina	nveog
frá	aþ
Bobbó	nkeþ-s
og	c
líkamsbygginguna	nveog
frá	aþ
mér	fp1eþ
;	;
það	fphen
var	sfg3eþ
undarleg	lvensf
blanda	nven
af	aþ
ólund	nveþ
og	c
ánægju	nveþ
í	aþ
svipnum	nkeþg
.	.

það	fphen
verður	sfg3en
aldrei	aa
kvendjöfull	nken
úr	aþ
henni	fpveþ
.	.

börnin	nhfng
mín	fehfn
hafa	sfg3fn
sogast	ssm
á	aa
ný	aa
út	aa
í	ao
hafsjó	nkeo
venjulegs	lheesf
fólks	nhee
,	,
sokkið	ssg
í	aþ
hringiðunni	nveþg
og	c
lent	ssg
þar	aa
sem	c
þau	fphfn
eru	sfg3fn
best	aae
niður	aa
komin	sþghfn
:	:
þau	fphfn
eru	sfg3fn
hversdagsleg	lhfnsf
og	c
á	ao
engan	fokeo
hátt	nkeo
athyglisverð	lhfnsf
,	,
en	c
þokkalega	aa
ánægð	lhfnsf
,	,
held	sfg1en
ég	fp1en
.	.

gamla	lvenvf
frú	nven
Fisher	nven-s
verður	sfg3en
að	cn
sjá	sng
um	ao
sig	fpveo
sjálf	fbven
og	c
tekst	sfm3en
það	fphen
ágætlega	aa
,	,
betur	aam
en	c
dóttur	nveþ
hennar	fpvee
,	,
en	c
þess	fphee
hafði	sfg3eþ
hún	fpven
alltaf	aa
óskað	ssg
sér	fpveþ
.	.

hún	fpven
er	sfg3en
flutt	sþgven
í	ao
heimabyggð	nveo
sína	feveo
,	,
býr	sfg3en
ein	lvensf
og	c
kemst	sfm3en
vel	aa
af	aa
.	.

hún	fpven
heimsækir	sfg3en
dóttur	nveo
sína	feveo
einu	tfheþ
sinni	nheþ
í	aþ
viku	nveþ
.	.

hjúkrunarkonurnar	nvfng
eru	sfg3fn
hræddar	lvfnsf
við	ao
hinn	gkeo
daunilla	lkeovf
fótfúna	lkeovf
gest	nkeo
,	,
og	c
hún	fpven
hristir	sfg3en
höfuðið	nheog
yfir	aþ
dóttur	nveþ
sinni	feveþ
og	c
heldur	sfg3en
því	fpheþ
fram	aa
að	c
sjúkdómur	nken
hennar	fpvee
sé	svg3en
laun	nhfn
syndarinnar	nveeg
.	.

Mary	nven-s
Fisher	nven-s
brosir	sfg3en
og	c
strýkur	sfg3en
gömlu	lveovf
höndina	nveog
sem	ct
eitt	foheo
sinn	nheo
annaðist	sfm3eþ
hana	fpveo
.	.

deildarhjúkrunarkonan	nveng
er	sfg3en
fullorðin	lvensf
og	c
tók	sfg3eþ
fyrstu	lhfove
skref	nhfo
sín	fehfo
út	aa
í	ao
heiminn	nkeog
-	-
þegar	c
hún	fpven
hafði	sfg3eþ
leikið	ssg
eiginkonu-	nheo
og	c
móðurhlutverk	nheo
sitt	feheo
til	ae
enda	nkee
-	-
í	aa
gegnum	ao
Vestu	nveo-s
Rose	nveo-s
Miðlunina	nveogs
.	.

henni	fpveþ
þykir	sfg3en
vænt	lhensf
um	ao
Mary	nveo-s
Fisher	nveo-s
.	.

hún	fpven
annast	sfm3en
hana	fpveo
vel	aa
.	.

Bobbó	nken-s
heimsækir	sfg3en
Mary	nveo-s
Fisher	nveo-s
ekki	aa
,	,
enda	aa
þótt	c
honum	fpkeþ
yrði	svg3eþ
eflaust	aa
leyft	sþghen
það	fphen
af	aþ
samúðarástæðum	nvfþ
(	(
vegna	ae
þess	fphee
að	c
hún	fpven
liggur	sfg3en
fyrir	aþ
dauðanum	nkeþg
)	)
ef	c
hann	fpken
bæði	svg3eþ
um	ao
það	fpheo
.	.

hann	fpken
vill	sfg3en
ekkert	foheo
af	aþ
henni	fpveþ
vita	sng
framar	aam
.	.

hann	fpken
elskaði	sfg3eþ
hana	fpveo
,	,
og	c
ástin	nveng
brást	sfm3eþ
.	.

hugsaðu	sbg2en
um	ao
það	faheo
sem	ct
þú	fp2en
ert	sfg2en
að	cn
gera	sng
.	.

þú	fp2en
mátt	ssg
ekki	aa
gera	sng
nein	fohfo
axarsköft	nhfo
.	.
»	»

svo	aa
sagði	sfg3eþ
hann	fpken
upphátt	aa
:	:

«	«
ég	fp1en
vildi	svg1eþ
ég	fp1en
hefði	svg1eþ
drenginn	nkeog
.	.

til	ae
að	cn
hjálpa	sng
mér	fp1eþ
og	c
sjá	sng
þetta	faheo
.	.
»	»

«	«
enginn	foken
ætti	svg3eþ
að	cn
vera	sng
einn	lkensf
í	aþ
ellinni	nveþg
,	,
»	»
hugsaði	sfg3eþ
hann	fpken
.	.

«	«
en	c
hjá	aþ
því	fpheþ
verður	sfg3en
ekki	aa
komist	sþmhen
.	.

ég	fp1en
verð	sfg1en
að	cn
muna	sng
það	fpheo
að	cn
éta	sng
túnfiskinn	nkeog
áður	aa
en	c
hann	fpken
skemmist	sfm3en
svo	aa
ég	fp1en
haldi	svg1en
kröftum	nkfþ
.	.

mundu	sbg2en
að	c
hvað	fshen
lítið	lheosf
sem	ct
þig	fp2eo
langar	sfg3en
til	ae
þess	fphee
verðurðu	sfg2en
að	cn
éta	sng
hann	fpkeo
í	ao
fyrramálið	nheog
.	.

mundu	sbg2en
það	fpheo
!	!
»	»
sagði	sfg3eþ
hann	fpken
við	ao
sjálfan	fbkeo
sig	fpkeo
.	.

um	ao
nóttina	nveog
komu	sfg3fþ
tveir	tfkfn
höfrungar	nkfn
upp	aa
að	aþ
bátnum	nkeþg
og	c
gamli	lkenvf
maðurinn	nkeng
heyrði	sfg3eþ
hvernig	aa
þeir	fpkfn
byltust	sfm3fþ
og	c
blésu	sfg3fþ
.	.

hann	fpken
gat	sfg3eþ
aðgreint	ssg
blásturinn	nkeog
í	aþ
karldýrinu	nheþg
og	c
andvörp	nhfo
kvendýrsins	nheeg
.	.

«	«
þau	fphfn
eru	sfg3fn
góð	lhfnsf
,	,
»	»
hugsaði	sfg3eþ
hann	fpken
.	.

«	«
þau	fphfn
leika	sfg3fn
sér	fphfþ
og	c
glettast	sfm3fn
og	c
elskast	sfm3fn
.	.

þau	fphfn
eru	sfg3fn
bræður	nkfn
okkar	fp1fe
eins	aa
og	c
flugfiskurinn	nkeng
.	.
»	»

þá	aa
tók	sfg3eþ
hann	fpken
að	cn
aumka	sng
fiskinn	nkeog
mikla	lkeovf
sem	ct
hann	fpken
hafði	sfg3eþ
krækt	ssg
í	ao
.	.

«	«
hann	fpken
er	sfg3en
undursamlegur	lkensf
og	c
furðulegur	lkensf
og	c
hver	fsken
veit	sfg3en
hve	aa
gamall	lkensf
hann	fpken
er	sfg3en
,	,
»	»
hugsaði	sfg3eþ
hann	fpken
.	.

«	«
aldrei	aa
hef	sfg1en
ég	fp1en
áður	aa
hitt	ssg
svo	aa
sterkan	lkeosf
fisk	nkeo
né	c
neinn	fokeo
svo	aa
kynlegan	lkeosf
í	aþ
háttalagi	nheþ
.	.

hver	fsken
veit	sfg3en
nema	c
hann	fpken
sé	svg3en
of	aa
vel	aa
viti	nheþ
borinn	lkensf
til	ae
að	cn
stökkva	sng
?	?

hann	fpken
gæti	svg3eþ
gert	ssg
út	aa
af	aa
við	ao
mig	fp1eo
ef	c
hann	fpken
tæki	svg3eþ
upp	aa
á	aþ
því	fpheþ
að	cn
stökkva	sng
eða	c
taka	sng
roku	nveo
.	.

nema	c
kannski	aa
hann	fpken
hafi	svg3en
bitið	ssg
á	aa
oft	aa
áður	aa
og	c
komist	ssm
að	aþ
raun	nveþ
um	ao
að	c
svona	aa
sé	svg3en
það	fahen
sem	c
á	sfg3en
að	cn
berjast	snm
?	?

ekki	aa
getur	sfg3en
hann	fpken
vitað	ssg
að	c
það	fphen
er	sfg3en
bara	aa
einn	tfken
maður	nken
á	aa
móti	aþ
honum	fpkeþ
og	c
hann	fpken
gamall	lkensf
.	.

en	c
ákaflega	aa
er	sfg3en
þetta	fahen
mikill	lkensf
fiskur	nken
og	c
mikið	lheosf
fæ	sfg1en
ég	fp1en
fyrir	ao
hann	fpkeo
ef	c
fiskurinn	nkeng
á	aþ
honum	fpkeþ
er	sfg3en
góður	lkensf
.	.

hann	fpken
tók	sfg3eþ
beituna	nveog
eins	aa
og	c
karlfiskur	nken
og	c
dregur	sfg3en
eins	aa
og	c
karlfiskur	nken
og	c
berst	sfm3en
fumlaust	aa
.	.

fróðlegt	lhensf
þætti	svg3eþ
mér	fp1eþ
að	cn
vita	sng
hvort	c
hann	fpken
hefur	sfg3en
nokkuð	foheo
sérstakt	lheosf
í	aþ
hyggju	nveþ
eða	c
bara	aa
örvæntir	sfg3en
um	ao
sinn	fekeo
hag	nkeo
eins	aa
og	c
ég	fp1en
.	.
»	»

hann	fpken
minntist	sfm3eþ
þess	fphee
er	c
hann	fpken
hafði	sfg3eþ
einhverju	foheþ
sinni	nheþ
krækt	ssg
í	ao
oddnefju	nveo
úr	aþ
pari	nheþ
.	.

karlinn	nkeng
lætur	sfg3en
kvenfiskinn	nkeog
ávallt	aa
fá	sng
sér	fpkeþ
fyrst	aae
og	c
fiskurinn	nkeng
á	aþ
önglinum	nkeþg
,	,
kvendýrið	nheng
barðist	sfm3eþ
um	aa
villt	aa
,	,
felmtrað	lhensf
og	c
örvilnað	lhensf
,	,
svo	aa
hún	fpven
varð	sfg3eþ
fljótlega	aa
úrvinda	lvenof
,	,
en	c
karlfiskurinn	nkeng
var	sfg3eþ
allan	fokeo
tímann	nkeog
hjá	aþ
henni	fpveþ
,	,
synti	sfg3eþ
yfir	ao
færið	nheog
og	c
hring	nkeo
ofan	aa
í	ao
hring	nkeo
með	aþ
henni	fpveþ
ofan	aa
á	aþ
sjónum	nkeþg
.	.

svo	aa
nálægt	aa
hélt	sfg3eþ
hann	fpken
sig	fpkeo
að	c
gamli	lkenvf
maðurinn	nkeng
var	sfg3eþ
hræddur	lkensf
um	ao
að	c
hann	fpken
mundi	svg3eþ
skera	sng
sundur	aa
færið	nheog
með	aþ
sporðinum	nkeþg
sem	ct
var	sfg3eþ
beittur	lkensf
eins	aa
og	c
sigð	nven
og	c
hérumbil	aa
eins	aa
að	aþ
stærð	nveþ
og	c
lögun	nveþ
.	.

meðan	c
gamli	lkenvf
maðurinn	nkeng
goggaði	sfg3eþ
hana	fpveo
og	c
hnallaði	sfg3eþ
,	,
og	c
hélt	sfg3eþ
um	ao
oddhvassa	lveosf
trjónuna	nveog
sem	ct
var	sfg3eþ
snarpbrýnd	lvensf
eins	aa
og	c
sandpappír	nken
og	c
barði	sfg3eþ
hana	fpveo
í	ao
hnakkann	nkeog
þangað	aa
til	aa
hún	fpven
var	sfg3eþ
orðin	sþgven
á	ao
litinn	nkeog
næstum	aa
eins	aa
og	c
baklagið	nheng
er	sfg3en
á	aþ
speglum	nkfþ
og	c
dró	sfg3eþ
hana	fpveo
inn	aa
með	aþ
hjálp	nveþ
drengsins	nkeeg
,	,
hafði	sfg3eþ
karlfiskurinn	nkeng
haldið	ssg
sig	fpkeo
kyrr	lkensf
við	ao
bátshliðina	nveog
.	.

á	aa
eftir	aa
,	,
meðan	c
gamli	lkenvf
maðurinn	nkeng
var	sfg3eþ
að	cn
greiða	sng
úr	aþ
færunum	nhfþg
og	c
ganga	sng
frá	aþ
skutlinum	nkeþg
,	,
stökk	sfg3eþ
karlfiskurinn	nkeng
hátt	aa
upp	aa
í	ao
loftið	nheog
til	ae
að	cn
gá	sng
hvar	aa
kvendýrið	nheng
væri	svg3eþ
og	c
svo	aa
lagðist	sfm3eþ
hann	fpken
djúpt	aa
og	c
þandi	sfg3eþ
ljósfjólubláa	lkfosf
vængina	nkfog
,	,
sem	ct
voru	sfg3fþ
eyruggar	nkfn
hans	fpkee
og	c
allar	fovfn
hinar	gvfn
breiðu	lvfnvf
ljósfjólubláu	lvfnvf
rendur	nvfn
hans	fpkee
blöstu	sfg3fþ
við	aa
.	.

«	«
hann	fpken
var	sfg3eþ
fallegur	lkensf
,	,
»	»
mundi	sfg3eþ
gamli	lkenvf
maðurinn	nkeng
,	,
«	«
og	c
hann	fpken
fór	sfg3eþ
ekki	aa
.	.
»	»

«	«
ég	fp1en
sá	sfg1eþ
aldrei	aa
neitt	foheo
átakanlegra	lheovm
en	c
þau	fphfn
,	,
»	»
hugsaði	sfg3eþ
gamli	lkenvf
maðurinn	nkeng
með	aþ
sér	fpkeþ
.	.

«	«
þetta	fahen
tók	sfg3eþ
líka	aa
á	ao
drenginn	nkeog
.	.

og	c
við	fp1fn
báðum	sfg1fþ
hana	fpveo
að	cn
fyrirgefa	sng
okkur	fp1fþ
og	c
flýttum	sfg1fþ
okkur	fp1fþ
að	cn
gera	sng
að	aþ
henni	fpveþ
.	.
»	»

Lydía	nven-s
mín	feven
,	,
þó	aa
að	c
þú	fp2en
sért	svg2en
yngst	lvense
er	sfg1en
ég	fp1en
viss	lvensf
um	ao
að	c
Bingley	nken-s
dansar	sfg3en
við	ao
þig	fp2eo
á	aþ
næsta	lheþve
balli	nheþ
.	.
»	»

«	«
iss	au
,	,
»	»
sagði	sfg3eþ
Lydía	nven-s
hreykin	lvensf
,	,
«	«
ekki	aa
kvíði	sfg1en
ég	fp1en
neinu	foheþ
.	.

því	fpheþ
þó	aa
að	c
ég	fp1en
sé	svg1en
yngst	lvense
er	sfg1en
ég	fp1en
samt	aa
stærst	lvense
.	.
»	»

það	faheo
sem	ct
eftir	aa
lifði	sfg3eþ
kvölds	nhee
veltu	sfg3fþ
þær	fpvfn
vöngum	nkfþ
yfir	aþ
því	fpheþ
hvenær	aa
Bingley	nken-s
myndi	svg3eþ
endurgjalda	sng
heimsókn	nveo
Bennets	nkee-s
og	c
reyndu	sfg3fþ
að	cn
ákveða	sng
hvenær	aa
þau	fphfn
ættu	svg3fþ
að	cn
bjóða	sng
honum	fpkeþ
í	ao
mat	nkeo
.	.

3.	ta
kafli	nken

en	c
frú	nveþ
Bennet	nveþ-s
tókst	sfm3eþ
alls	fohee
ekki	aa
,	,
þótt	c
hún	fpven
nyti	svg3eþ
aðstoðar	nvee
allra	fovfe
dætra	nvfe
sinna	fevfe
fimm	tfvfe
,	,
að	cn
toga	sng
fullnægjandi	lveoof
lýsingu	nveo
á	aþ
Bingley	nkeþ-s
út	aa
úr	aþ
manni	nkeþ
sínum	fekeþ
.	.

þær	fpvfn
réðust	sfm3fþ
að	aþ
honum	fpkeþ
úr	aþ
ýmsum	fovfþ
áttum	nvfþ
;	;
með	aþ
beinum	lvfþsf
spurningum	nvfþ
,	,
lævíslegum	lvfþsf
uppástungum	nvfþ
og	c
óljósum	lvfþsf
tilgátum	nvfþ
,	,
en	c
hann	fpken
smaug	sfg3eþ
fimlega	aa
úr	aþ
greipum	nvfþ
þeirra	fpvfe
.	.

loks	aa
urðu	sfg3fþ
þær	fpvfn
að	cn
láta	sng
sér	fpvfþ
nægja	sng
lýsingu	nveo
lafði	nvee
Lucas	nvee-s
sem	ct
hún	fpven
hafði	sfg3eþ
aftur	aa
frá	aþ
manni	nkeþ
sínum	fekeþ
.	.

frásögn	nven
hennar	fpvee
var	sfg3eþ
lofsamleg	lvensf
í	ao
hæsta	lkeove
máta	nkeo
.	.

sir	nken
William	nken-s
hafði	sfg3eþ
orðið	ssg
stórhrifinn	lkensf
af	aþ
Bingley	nkeþ-s
.	.

hann	fpken
var	sfg3eþ
ungur	lkensf
,	,
ákaflega	aa
laglegur	lkensf
,	,
afskaplega	aa
viðkunnanlegur	lkensf
og	c
til	ae
að	cn
kóróna	sng
þetta	faheo
allt	foheo
ætlaði	sfg3eþ
hann	fpken
að	cn
koma	sng
á	ao
næsta	lkeove
dansleik	nkeo
með	ao
fjölmennt	lheosf
föruneyti	nheo
.	.

ekkert	fohen
gat	sfg3eþ
verið	ssg
yndislegra	lhenvm
!	!

að	cn
hafa	sng
gaman	nheo
af	aþ
að	cn
dansa	sng
er	sfg3en
skref	nhen
í	aþ
átt	nveþ
til	ae
þess	fphee
að	cn
verða	sng
ástfanginn	lkensf
og	c
margar	lvfnsf
stúlkur	nvfn
gerðu	sfg3fþ
sér	fpvfþ
góðar	lvfosf
vonir	nvfo
um	ao
að	cn
vinna	sng
ástir	nvfo
Bingleys	nkee-s
.	.

«	«
ef	c
mér	fp1eþ
auðnast	sfm3fn
að	cn
koma	sng
einni	tfveþ
dóttur	nveþ
minni	feveþ
vel	aa
fyrir	aa
á	aþ
Netherfield	nxeþ-s
,	,
»	»
sagði	sfg3eþ
frú	nven
Bennet	nven-s
við	ao
mann	nkeo
sinn	fekeo
,	,
«	«
og	c
gifta	sng
hinar	favfo
álíka	aa
vel	aa
,	,
þá	aa
bið	sfg1en
ég	fp1en
ekki	aa
um	ao
neitt	foheo
framar	aam
.	.
»	»

eftir	ao
nokkra	fokfo
daga	nkfo
endurgalt	sfg3eþ
Bingley	nken-s
heimsókn	nveo
Bennets	nkee-s
og	c
sat	sfg3eþ
hjá	aþ
honum	fpkeþ
í	aþ
bókaherbergi	nheþ
hans	fpkee
í	ao
um	ao
það	faheo
bil	nheo
tíu	tfvfo
mínútur	nvfo
.	.

hann	fpken
hafði	sfg3eþ
vonast	ssm
til	ae
að	cn
fá	sng
að	cn
sjá	sng
systurnar	nvfog
því	fpheþ
mikið	lhensf
orð	nhen
fór	sfg3eþ
af	aþ
fegurð	nveþ
þeirra	fpvfe
,	,
en	c
hann	fpken
hitti	sfg3eþ
bara	aa
föðurinn	nkeog
.	.

stúlkurnar	nvfng
voru	sfg3fþ
svolítið	aa
heppnari	lvfnvm
því	fpheþ
þær	fpvfn
sáu	sfg3fþ
fyrir	ao
víst	lheosf
úr	aþ
glugga	nkeþ
á	aþ
efri	lveþvm
hæðinni	nveþg
að	c
hann	fpken
var	sfg3eþ
í	aþ
bláum	lkeþsf
frakka	nkeþ
og	c
reið	sfg3eþ
svörtum	lkeþsf
hesti	nkeþ
.	.

skömmu	lheþsf
seinna	aam
var	sfg3eþ
miðdegisverðarboð	nhen
sent	sþghen
af	aþ
stað	nkeþ
;	;
og	c
frú	nven
Bennet	nven-s
var	sfg3eþ
þegar	aa
búin	lvensf
að	cn
skipuleggja	sng
matseðilinn	nkeog
sem	ct
átti	sfg3eþ
að	cn
sýna	sng
hvað	fshen
hún	fpven
var	sfg3eþ
góð	lvensf
húsfreyja	nven
þegar	c
svar	nhen
barst	sfm3eþ
sem	ct
sló	sfg3eþ
öllu	foheþ
á	ao
frest	nkeo
.	.

Bingley	nken-s
neyddist	sfm3eþ
til	ae
að	cn
vera	sng
í	aþ
borginni	nveþg
daginn	nkeog
eftir	aa
og	c
gat	sfg3eþ
því	aa
ekki	aa
þegið	ssg
boðið	nheog
,	,
því	fpheþ
miður	aam
o.	c
s.	aa
frv.	aa

frú	nven
Bennet	nven-s
komst	sfm3eþ
öll	foven
í	ao
uppnám	nheo
.	.

hún	fpven
gat	sfg3eþ
ekki	aa
ímyndað	ssg
sér	fpveþ
hvaða	fsheo
erindi	nheo
hann	fpken
gat	sfg3eþ
átt	ssg
til	ae
borgarinnar	nveeg
svona	aa
skömmu	lheþsf
eftir	ao
komuna	nveog
til	ae
Hertfordshire	nxee-s
og	c
fór	sfg3eþ
að	cn
óttast	snm
að	c
hann	fpken
væri	svg3eþ
